,1,2,3,4,5,6,7,8,9,10
0,-0.204707659,0.478943338,-0.519438715,-0.555730304,1.965780573,-0.713604006,0.243764655,2.150762381,0.347517464,0.507267305
1,1.393405833,0.092907877,0.281746153,0.769022568,1.246434736,0.289047353,1.383806471,1.38706045,-0.2033228,0.495477679
2,1.007189358,-1.296221109,0.274991633,0.228912879,1.352916835,-0.272707993,1.042476099,1.007276492,-1.367614497,-1.619432337
3,0.886429341,-2.00163731,-0.371842537,1.66902531,-0.438569736,-0.451448996,0.911013836,-0.790298514,-1.568575947,-2.197301998
4,-0.539741446,0.47698501,3.248943919,-1.021227524,-0.577087303,3.126706399,-0.574898964,-0.458569271,0.495949417,0.257232509
5,0.124121276,0.302613562,0.523772068,0.000940278,1.343809794,0.539855965,-0.473961109,1.29168068,0.254529204,0.148952522
6,-0.713543985,-0.831153539,-2.370231654,-1.860760789,-0.860757398,-2.255209759,-0.965305226,-0.997543379,-0.980820033,-0.758941105
7,0.560145293,-1.265934492,0.119827125,-1.063512448,0.332882716,-0.15622014,0.074165924,0.406220357,-2.038740689,-1.250334319
8,-2.359418807,-0.199542955,-1.541995528,-0.970735912,-1.307030251,-1.029885908,-2.327087365,-1.097884736,-0.088575956,-0.351123263
9,0.286349747,0.377984111,-0.753886535,0.33128565,1.349742214,-0.99901598,0.139898111,1.646770916,0.547292909,0.006824313
10,0.069876689,0.24667411,-0.011861601,1.004811591,1.327194614,-0.25333048,0.020199057,1.134365995,0.45507015,0.322392914
11,-0.919261558,-1.549106438,0.022184599,0.758363145,-0.660524328,0.191561027,-0.481893902,-1.042664736,-1.596388891,-1.683818778
12,0.862580083,-0.010031902,0.050009356,0.670215594,0.852965032,0.118091444,0.612649788,1.143233619,0.318967496,-0.262529597
13,-0.955868852,-0.023493321,-2.304233879,-0.652468841,-1.218301977,-2.080670786,-0.800021429,-1.188259989,-0.280901901,-0.387170986
14,-1.332609708,1.07462269,0.723641505,0.690001853,1.001543442,1.156597577,-1.337196795,0.932507474,1.021025887,1.224168241
15,-0.503087391,-0.622274225,-0.921168608,-0.726213493,0.222895546,-0.973212309,-0.431879139,0.161266452,-0.903589918,-0.734239266
16,0.051316101,-1.157719466,0.816706936,0.433609606,1.010736946,0.764578293,0.044481795,0.908456353,-1.473421584,-1.192560147
17,1.824875211,-0.997518248,0.850591099,-0.131577601,0.912414152,0.891358792,1.506608504,0.8441693,-0.876275236,-0.746934129
18,0.18821068,2.169461438,-0.114928205,2.003697362,0.029610152,-0.534561491,0.259404707,-0.217608793,2.213381584,2.621076809
19,0.795253156,0.118109754,-0.748531548,0.584969738,0.152676573,-0.651119886,0.258459375,0.206961889,-0.193206804,0.675079556
20,-1.565657294,-0.562540188,-0.032664139,-0.929006202,-0.482572646,-0.363066997,-1.729429578,-0.434798299,-0.595353064,-0.7055149
21,-0.036263846,1.09539006,0.980928477,-0.589487686,1.581700094,1.212383141,0.418413476,1.524888093,1.1910755,0.782354642
22,-0.528734826,0.457001871,0.929968759,-1.569270605,-1.022486978,0.520379478,-0.373102958,-1.012932796,0.640044264,0.470276656
23,-0.402826924,0.220486863,-0.193401108,0.669158336,-1.64898482,-0.412719225,-0.732109941,-1.640924589,0.179133825,0.440811251
24,-2.252797247,-1.166832216,0.353607102,0.702110171,-0.274569205,0.263734965,-2.470390473,-0.448294073,-1.042850753,-1.116783602
25,-0.139142188,0.107657222,-0.606545125,-0.417064408,-0.017007037,-0.618961115,-0.350085424,-0.252300685,0.169725081,0.098446828
26,-1.224145284,-1.800839913,1.634736205,0.989008302,0.457940143,1.438014106,-1.052977105,1.094138834,-1.308047949,-1.689839798
27,0.55515441,1.306719725,-0.44055357,-0.30135028,0.49879149,-0.433960843,0.951128755,0.177157086,1.527553899,1.015676924
28,-0.82399104,1.320565843,0.507964786,-0.653437675,0.186979514,0.562970049,-0.887813198,0.107055339,1.232211756,1.470679577
29,-0.391725249,-0.272292975,-0.017141436,0.680320749,0.635512357,0.045761825,-0.384019617,0.47529617,-0.072055528,-0.164008268
30,-0.757176502,0.718085834,-0.304273076,-1.677790246,0.426986085,-0.471253588,-0.597379498,0.209182962,0.760241627,0.913018853
31,-1.563739846,-0.367487521,1.045912533,1.219954365,-0.247699116,1.43673457,-1.51990124,-0.438065377,-0.410447295,-0.294618905
32,-0.416232132,-0.116747004,-1.844787616,2.068707851,-0.776967474,-1.914571436,-0.31977059,-0.336039972,-0.334604882,0.380928963
33,1.440166869,-0.11055736,1.227386995,1.920784262,0.746433038,1.050039209,1.067013902,0.501511327,-0.25776961,-0.412419216
34,2.22465959,-0.67940041,0.727368782,-0.868730734,-1.213850906,0.809113894,2.087438198,-1.394909468,-0.850451861,-0.611308321
35,-0.470630931,-0.919241697,-0.838826689,0.435155305,-0.557804717,-0.668738523,-0.112649592,-0.634466344,-1.298870022,-0.828760977
36,-0.567454871,-0.372641553,-0.926556901,1.755108386,1.209809986,-0.753380727,-0.245360778,1.772495572,-0.623007564,-0.198696256
37,1.270024732,-0.974378127,-0.634709255,-0.395700752,-0.2894359,-0.654198924,0.856915181,-0.108914213,-0.891777229,-1.229174393
38,-0.734297072,-0.728504679,0.838775073,0.266893213,0.721194339,0.411786888,-1.030933613,0.907465786,-0.664914754,-0.754368346
39,0.910982642,-1.020902613,-1.413416039,1.296607842,0.252275209,-1.343753189,0.880676481,0.497286128,-1.057404963,-0.805881011
40,1.127481104,-0.568363447,0.309362168,-0.577385473,-1.168634073,0.7825179,0.902763881,-1.531603869,-0.608718645,-0.913756628
41,-0.825019972,-2.64440949,-0.152985803,-0.751921003,-0.132609252,0.037231517,-0.759527842,-0.169399368,-2.462519352,-2.469989286
42,1.457299705,0.609511845,-0.493779257,1.239979882,-0.13572214,-0.069996866,1.535141114,0.296331161,0.926690078,0.794527725
43,1.430041806,-0.846852451,0.60328213,1.263572256,-0.255490556,0.420891654,1.223439055,-0.415747193,-0.975640903,-1.148128236
44,-0.44568838,0.468366681,-0.961603924,-1.824504537,0.625428156,-0.752738179,-0.302836145,0.981947927,0.161630348,0.486231314
45,1.022872384,1.107424601,0.090937089,-0.350108657,0.217957016,0.183038571,0.465798955,0.40646814,1.100998313,1.160671693
